date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
1998-12-22 00:00:00+00:00,90.34,90.77,89.42,90.27,317700,56.2723074205,56.5401521425,55.6992442942,56.2287047913,317700,0.0,1.0
1998-12-23 00:00:00+00:00,92.06,92.31,90.69,91.23,657600,57.3436863087,57.4994099843,56.4903205663,56.8266837057,657600,0.0,1.0
1998-12-24 00:00:00+00:00,92.09,92.52,91.81,92.11,346900,57.3623731498,57.6302178718,57.1879626331,57.3748310438,346900,0.0,1.0
1998-12-28 00:00:00+00:00,91.94,92.78,91.81,92.77,274000,57.2689389444,57.7921704945,57.1879626331,57.7859415474,274000,0.0,1.0
1998-12-29 00:00:00+00:00,93.48,93.53,91.77,92.3,598800,58.2281967862,58.2593415213,57.163046845,57.4931810373,598800,0.0,1.0
1998-12-30 00:00:00+00:00,92.63,93.47,92.63,93.06,202600,57.6987362891,58.2219678392,57.6987362891,57.9665810112,202600,0.0,1.0
1998-12-31 00:00:00+00:00,91.53,92.86,91.5,92.61,870300,57.0135521164,57.8420020707,56.9948652753,57.6862783951,870300,0.0,1.0
1999-01-04 00:00:00+00:00,91.95,93.61,91.05,92.08,490200,57.2751678914,58.3091730975,56.7145626592,57.3561442028,490200,0.0,1.0
1999-01-05 00:00:00+00:00,93.22,93.44,91.94,91.94,473000,58.0662441636,58.2032809981,57.2689389444,57.2689389444,473000,0.0,1.0
1999-01-06 00:00:00+00:00,95.66,95.81,93.83,94.17,701400,59.5861072376,59.6795414429,58.4462099321,58.6579941309,701400,0.0,1.0
1999-01-07 00:00:00+00:00,95.25,95.48,94.09,94.25,450300,59.3307204096,59.4739861911,58.6081625547,58.7078257071,450300,0.0,1.0
1999-01-08 00:00:00+00:00,96.52,96.63,95.3,96.25,446300,60.1217966817,60.190315099,59.3618651447,59.953615112,446300,0.0,1.0
1999-01-11 00:00:00+00:00,96.34,96.45,95.25,96.34,603000,60.0096756352,60.0781940525,59.3307204096,60.0096756352,603000,0.0,1.0
1999-01-12 00:00:00+00:00,94.53,96.06,94.53,95.94,539600,58.8822362238,59.8352651186,58.8822362238,59.7605177543,539600,0.0,1.0
1999-01-13 00:00:00+00:00,93.34,94.38,91.8,91.8,1082800,58.1409915279,58.7888020184,57.1817336861,57.1817336861,1082800,0.0,1.0
1999-01-14 00:00:00+00:00,90.88,93.5,90.72,93.5,604100,56.6086705598,58.2406546802,56.5090074074,58.2406546802,604100,0.0,1.0
1999-01-15 00:00:00+00:00,93.47,93.5,91.53,92.11,470100,58.2250231377,58.2437109594,57.0165440012,57.3778418874,470100,0.004905,1.0
1999-01-19 00:00:00+00:00,93.06,94.31,92.02,94.31,1505900,57.9696229078,58.7482821452,57.3217784223,58.7482821452,1505900,0.0,1.0
1999-01-20 00:00:00+00:00,93.63,94.75,92.75,94.19,687500,58.3246915201,59.0223701968,57.7765154169,58.6735308584,687500,0.0,1.0
1999-01-21 00:00:00+00:00,92.13,93.78,92.03,93.0,944500,57.3903004352,58.4181306286,57.3280076962,57.9322472644,944500,0.0,1.0
1999-01-22 00:00:00+00:00,91.31,92.11,90.75,90.92,550700,56.8794999754,57.3778418874,56.5306606371,56.6365582933,550700,0.0,1.0
1999-01-25 00:00:00+00:00,92.28,92.28,90.36,91.39,608400,57.4837395437,57.4837395437,56.287718955,56.9293341666,608400,0.0,1.0
1999-01-26 00:00:00+00:00,93.72,93.72,91.83,92.3,459600,58.3807549852,58.3807549852,57.2034222182,57.4961980915,459600,0.0,1.0
1999-01-27 00:00:00+00:00,91.69,94.0,91.5,93.81,487100,57.1162123836,58.5551746544,56.9978561795,58.4368184503,487100,0.0,1.0
1999-01-28 00:00:00+00:00,92.47,93.16,92.22,92.47,268200,57.6020957477,58.0319156468,57.4463639003,57.6020957477,268200,0.0,1.0
1999-01-29 00:00:00+00:00,93.28,94.0,92.05,93.2,306900,58.1066669336,58.5551746544,57.340466244,58.0568327424,306900,0.0,1.0
1999-02-01 00:00:00+00:00,93.34,94.34,93.16,93.98,191400,58.144042577,58.7669699669,58.0319156468,58.5427161066,191400,0.0,1.0
1999-02-02 00:00:00+00:00,92.66,93.3,91.88,93.27,473600,57.7204519518,58.1191254814,57.2345685877,58.1004376597,473600,0.0,1.0
1999-02-03 00:00:00+00:00,93.88,94.0,92.22,92.22,238100,58.4804233676,58.5551746544,57.4463639003,57.4463639003,238100,0.0,1.0
1999-02-04 00:00:00+00:00,93.5,94.0,92.77,93.52,442800,58.2437109594,58.5551746544,57.7889739647,58.2561695072,442800,0.0,1.0
1999-02-05 00:00:00+00:00,93.06,93.48,92.44,93.22,438700,57.9696229078,58.2312524116,57.5834079261,58.0692912902,438700,0.0,1.0
1999-02-08 00:00:00+00:00,92.81,93.77,92.06,93.5,335500,57.8138910603,58.4119013547,57.3466955179,58.2437109594,335500,0.0,1.0
1999-02-09 00:00:00+00:00,91.38,92.84,91.0,92.64,341700,56.9231048927,57.832578882,56.6863924845,57.707993404,341700,0.0,1.0
1999-02-10 00:00:00+00:00,91.63,91.91,90.97,91.5,751900,57.0788367402,57.2532564094,56.6677046628,56.9978561795,751900,0.0,1.0
1999-02-11 00:00:00+00:00,94.0,94.34,91.5,92.11,687700,58.5551746544,58.7669699669,56.9978561795,57.3778418874,687700,0.0,1.0
1999-02-12 00:00:00+00:00,92.91,93.98,92.31,93.47,410400,57.8761837993,58.5427161066,57.5024273654,58.2250231377,410400,0.0,1.0
1999-02-16 00:00:00+00:00,92.7,93.97,92.5,93.59,728100,57.7453690474,58.5364868327,57.6207835694,58.2997744245,728100,0.0,1.0
1999-02-17 00:00:00+00:00,92.44,93.78,91.8,92.47,466000,57.5834079261,58.4181306286,57.1847343965,57.6020957477,466000,0.0,1.0
1999-02-18 00:00:00+00:00,93.03,93.31,91.97,92.73,589200,57.9509350861,58.1253547553,57.2906320528,57.7640568691,589200,0.0,1.0
1999-02-19 00:00:00+00:00,93.53,93.98,92.59,93.06,382200,58.3956118034,58.6765700554,57.8087212325,58.102166518,382200,0.21385,1.0
1999-02-22 00:00:00+00:00,95.69,95.72,93.36,93.45,418500,59.7442114131,59.7629419633,58.2894720193,58.3456636697,418500,0.0,1.0
1999-02-23 00:00:00+00:00,95.56,96.13,94.56,95.34,632800,59.6630456959,60.0189261484,59.0386940247,59.5256883282,632800,0.0,1.0
1999-02-24 00:00:00+00:00,93.88,96.08,93.75,95.7,695600,58.6141348883,59.9877085649,58.5329691711,59.7504549298,695600,0.0,1.0
1999-02-25 00:00:00+00:00,93.19,93.84,92.25,93.28,1438600,58.1833322352,58.5891608215,57.5964416643,58.2395238856,1438600,0.0,1.0
1999-02-26 00:00:00+00:00,92.89,93.81,92.44,93.72,356200,57.9960267339,58.5704302713,57.7150684819,58.5142386209,356200,0.0,1.0
1999-03-01 00:00:00+00:00,93.06,93.56,92.25,93.0,336900,58.102166518,58.4143423536,57.5964416643,58.0647054177,336900,0.0,1.0
1999-03-02 00:00:00+00:00,93.28,94.22,92.64,93.61,242000,58.2395238856,58.8264144565,57.8399388161,58.4455599371,242000,0.0,1.0
1999-03-03 00:00:00+00:00,92.84,93.34,92.0,93.02,201200,57.9648091503,58.2769849859,57.4403537466,58.0771924511,201200,0.0,1.0
1999-03-04 00:00:00+00:00,94.97,94.97,93.34,93.5,584900,59.2946782099,59.2946782099,58.2769849859,58.3768812533,584900,0.0,1.0
1999-03-05 00:00:00+00:00,97.63,97.84,96.17,96.33,1525300,60.9554536552,61.0865675061,60.0439002153,60.1437964827,1525300,0.0,1.0
1999-03-08 00:00:00+00:00,97.47,97.78,96.8,97.67,298300,60.8555573878,61.0491064058,60.4372417681,60.980427722,298300,0.0,1.0
1999-03-09 00:00:00+00:00,96.94,98.34,96.75,97.31,848200,60.5246510021,61.3987433417,60.4060241846,60.7556611204,848200,0.0,1.0
1999-03-10 00:00:00+00:00,97.94,97.94,96.81,97.13,180300,61.1490026732,61.1490026732,60.4434852848,60.6432778196,180300,0.0,1.0
1999-03-11 00:00:00+00:00,99.31,99.72,98.03,98.61,758500,62.0043644627,62.2603486479,61.2051943236,61.5673182929,758500,0.0,1.0
1999-03-12 00:00:00+00:00,98.64,99.86,98.64,99.84,411300,61.586048843,62.3477578819,61.586048843,62.3352708484,411300,0.0,1.0
1999-03-15 00:00:00+00:00,99.73,99.75,98.75,98.91,204000,62.2665921646,62.279079198,61.6547275269,61.7546237943,204000,0.0,1.0
1999-03-16 00:00:00+00:00,99.44,100.1,99.27,99.92,644400,62.08553018,62.4976022829,61.9793903959,62.3852189821,644400,0.0,1.0
1999-03-17 00:00:00+00:00,98.92,99.75,98.69,99.47,608100,61.760867311,62.279079198,61.6172664266,62.1042607301,608100,0.0,1.0
1999-03-18 00:00:00+00:00,100.3,100.5,98.63,98.77,399800,62.6224726172,62.7473429514,61.5798053263,61.6672145603,399800,0.0,1.0
1999-03-19 00:00:00+00:00,98.56,100.8,98.56,100.5,501000,61.6107631796,63.0110077973,61.6107631796,62.823475036,501000,0.119584,1.0
1999-03-22 00:00:00+00:00,99.13,99.44,98.56,98.69,118500,61.9670754261,62.1608592794,61.6107631796,61.6920273762,118500,0.0,1.0
1999-03-23 00:00:00+00:00,96.63,99.44,96.28,98.42,824500,60.4043024152,62.1608592794,60.1855141937,61.523247891,824500,0.0,1.0
1999-03-24 00:00:00+00:00,96.84,97.09,96.17,96.83,253600,60.5355753481,60.6918526492,60.1167521812,60.5293242561,253600,0.0,1.0
1999-03-25 00:00:00+00:00,98.63,98.73,97.39,97.83,385500,61.6545208239,61.7170317443,60.8793854105,61.1544334604,385500,0.0,1.0
1999-03-26 00:00:00+00:00,98.28,98.5,97.5,97.95,258900,61.4357326024,61.5732566273,60.948147423,61.2294465649,258900,0.0,1.0
1999-03-29 00:00:00+00:00,99.88,100.5,99.0,99.2,441200,62.4359073293,62.823475036,61.8858112295,62.0108330704,441200,0.0,1.0
1999-03-30 00:00:00+00:00,99.28,99.86,98.67,98.92,552000,62.0608418067,62.4234051452,61.6795251921,61.8358024932,552000,0.0,1.0
1999-03-31 00:00:00+00:00,97.75,99.97,97.66,99.75,452900,61.1044247241,62.4921671577,61.0481648957,62.3546431328,452900,0.0,1.0
